sx	sy	theta
-0.00	0.09	0.00
-0.00	0.70	0.26
-0.01	1.48	0.62
-0.01	1.92	1.13
-0.02	2.18	1.49
-0.04	2.79	1.95
-0.05	3.13	2.36
-0.07	3.57	2.77
-0.09	4.00	3.18
-0.12	4.44	3.59
-0.15	4.87	4.00
-0.17	5.22	4.46
-0.21	5.65	4.87
-0.27	6.17	7.85
-0.32	6.52	8.21
-0.37	6.86	8.67
-0.42	7.21	9.03
-0.48	7.55	9.39
-0.53	7.89	9.80
-0.59	8.24	10.21
-0.66	8.58	10.62
-0.72	8.92	11.03
-0.81	9.35	11.44
-0.88	9.69	11.85
-0.95	10.03	12.21
-1.03	10.37	12.62
-1.10	10.71	12.98
-1.18	11.05	13.34
-1.26	11.39	13.75
-1.37	11.81	14.11
-1.45	12.15	14.52
-1.54	12.49	14.93
-1.68	12.99	15.34
-1.77	13.33	15.75
-1.89	13.74	16.16
-2.04	14.25	16.57
-2.17	14.66	16.98
-2.27	14.99	17.39
-2.37	15.33	17.85
-2.51	15.74	18.21
-2.65	16.15	18.62
-2.76	16.48	19.03
-2.87	16.81	19.44
-2.99	17.14	19.85
-3.11	17.47	20.26
-3.23	17.79	20.67
-3.36	18.12	21.03
-3.51	18.53	21.44
-3.64	18.85	21.85
-3.81	19.25	22.27
-3.94	19.57	22.68
-4.07	19.90	23.03
-4.21	20.22	23.45
-4.35	20.53	23.86
-4.49	20.85	24.27
-4.67	21.25	24.57
-4.86	21.64	24.98
-5.00	21.96	25.45
-5.19	22.35	25.81
-5.38	22.74	26.22
-5.54	23.06	26.63
-5.70	23.37	27.04
-5.85	23.68	27.45
-6.02	23.98	27.86
-6.22	24.37	28.27
-6.39	24.67	28.63
-6.56	24.98	29.04
-6.73	25.28	29.45
-6.94	25.66	29.81
-7.11	25.96	30.22
-7.29	26.26	30.94
-7.48	26.56	33.81
-7.72	26.92	34.22
-7.87	27.13	34.58
-8.07	27.42	34.89
-8.32	27.78	35.35
-8.52	28.06	35.76
-8.78	28.41	36.17
-8.98	28.69	36.58
-9.24	29.04	36.99
-9.51	29.39	37.40
-9.72	29.66	37.76
-9.93	29.94	38.17
-10.15	30.21	38.53
-10.37	30.48	38.94
-10.70	30.89	39.40
-10.92	31.16	39.81
-11.20	31.49	40.27
-11.43	31.76	40.68
-11.71	32.08	41.14
-11.94	32.35	41.56
-12.17	32.61	42.02
-12.41	32.86	42.38
-12.70	33.18	42.79
-13.00	33.50	43.25
-13.30	33.82	43.66
-13.60	34.13	44.12
-13.84	34.38	44.53
-14.09	34.63	44.94
-14.46	35.00	45.35
-14.77	35.30	45.81
-15.08	35.60	46.28
-15.34	35.84	46.69
-15.59	36.08	47.04
-15.85	36.32	47.40
-16.10	36.55	47.87
-16.43	36.84	48.28
-16.75	37.13	48.69
-17.02	37.36	49.05
-17.35	37.65	49.46
-17.68	37.93	49.92
-17.94	38.15	50.33
-18.21	38.37	50.69
-18.48	38.59	51.15
-18.76	38.81	51.61
-19.03	39.03	52.02
-19.31	39.24	52.43
-19.65	39.50	52.84
-20.00	39.76	53.25
-20.28	39.97	53.66
-20.63	40.23	54.07
-20.98	40.48	54.53
-21.27	40.68	54.95
-21.55	40.88	55.30
-21.91	41.13	55.77
-22.20	41.32	56.13
-22.42	41.47	56.48
-22.78	41.71	56.84
-23.08	41.90	57.20
-23.37	42.09	57.61
-23.59	42.23	57.97
-23.89	42.41	58.28
-24.18	42.59	58.64
-24.48	42.77	59.00
-24.78	42.95	59.41
-25.16	43.17	59.87
-25.46	43.34	60.28
-25.76	43.52	60.64
-25.99	43.64	61.00
-26.29	43.81	61.31
-26.60	43.98	61.72
-26.91	44.14	62.08
-27.21	44.30	62.49
-27.52	44.46	62.95
-27.91	44.66	63.36
-28.15	44.78	63.72
-28.54	44.97	64.08
-28.93	45.16	64.49
-29.24	45.31	64.90
-29.56	45.45	65.26
-29.96	45.63	65.62
-30.27	45.78	66.03
-30.67	45.95	66.44
-30.99	46.09	66.85
-31.39	46.26	67.26
-31.72	46.39	67.67
-32.12	46.56	68.08
-32.44	46.69	68.49
-32.85	46.84	68.90
-33.17	46.97	69.31
-33.58	47.12	69.72
-33.91	47.24	70.13
-34.24	47.36	70.54
-34.57	47.47	70.95
-34.98	47.61	71.36
-35.31	47.72	71.72
-35.64	47.83	72.13
-36.05	47.96	72.59
-36.39	48.07	72.95
-36.72	48.17	73.36
-37.05	48.27	73.77
-37.47	48.39	74.13
-37.81	48.48	74.54
-38.23	48.59	74.95
-38.56	48.68	75.36
-38.90	48.77	75.77
-39.24	48.85	76.18
-39.66	48.96	76.54
-40.00	49.04	76.95
-40.43	49.13	77.31
-40.77	49.21	77.72
-41.19	49.30	78.13
-41.53	49.37	78.54
