v	t
0.09	55800
0.17	80620
0.26	105028
0.17	130240
0.35	155052
0.35	179464
0.26	204264
0.44	229084
0.35	253892
0.35	279104
0.35	303512
0.35	328320
0.35	353128
0.44	377944
0.44	402748
0.26	427568
0.35	452768
0.44	477180
0.35	502644
0.35	526804
0.35	551612
0.35	576428
0.44	601632
0.35	626040
0.35	650848
0.35	675664
0.44	700880
0.35	725276
0.35	750500
0.35	775308
0.52	800116
0.35	824524
0.35	849332
0.35	874140
0.52	899352
0.35	923764
0.35	948572
0.52	973796
0.35	998592
0.35	1023004
0.35	1047808
0.44	1073272
0.44	1097836
0.44	1122636
0.35	1147052
0.44	1171864
0.35	1196672
0.35	1221884
0.35	1246292
0.52	1271100
0.35	1295908
0.35	1320724
0.35	1345532
0.44	1370744
0.44	1395152
0.35	1419964
0.35	1444768
0.35	1469984
0.52	1494800
0.35	1519200
0.35	1544408
0.35	1569220
0.52	1593636
0.35	1618448
0.35	1643244
0.35	1668060
0.44	1692868
0.44	1718084
0.26	1742496
0.35	1767944
0.44	1792108
0.35	1816924
0.35	1842144
0.44	1867196
0.35	1891768
0.35	1916160
0.44	1941380
0.35	1965780
0.35	1990592
0.35	2015404
0.35	2040208
0.35	2065672
0.17	2089832
0.17	2114640
0.09	2139456
