v	t
0.09	48276
0.17	72688
0.17	97496
0.52	122308
0.35	147116
0.44	171932
0.44	196736
0.52	221944
0.52	246352
0.35	271168
0.52	296380
0.52	320788
0.44	345592
0.44	370408
0.52	395616
0.52	420028
0.35	444844
0.52	470044
0.52	494452
0.35	519268
0.61	544488
0.44	568892
0.52	593696
0.52	618508
0.44	643316
0.44	668128
0.52	692944
0.44	718148
0.52	742556
0.44	767768
0.52	792180
0.44	817384
0.44	842196
0.44	866604
0.52	891416
0.44	916224
0.44	941432
0.52	966252
0.44	990656
0.35	1015860
0.52	1040276
0.52	1065488
0.52	1089904
0.44	1115104
0.44	1139512
0.52	1164328
0.52	1189136
0.35	1213948
0.52	1238764
0.52	1263564
0.44	1288772
0.44	1313188
0.52	1338400
0.44	1362816
0.44	1387612
0.52	1412836
0.35	1437232
0.52	1462048
0.52	1486860
0.44	1511676
0.44	1536476
0.52	1561288
0.44	1586492
0.44	1610912
0.52	1635720
0.52	1660928
0.52	1685740
0.44	1710144
0.44	1735364
0.44	1760172
0.44	1784576
0.61	1809388
0.44	1834592
0.35	1859012
0.61	1884220
0.44	1909032
0.44	1933436
0.52	1958248
0.52	1983060
0.44	2007868
0.52	2033084
0.44	2057888
0.26	2082300
0.26	2107504
0.09	2131920
0.17	2156732
